WEEK;WEEK_LABEL;AGE_GROUP;RESPONDENTS_N;ARI_CASE_PERC
2020-11-02; 2 nov t/m  8 nov '20;<=24;252;12,30
2020-11-02; 2 nov t/m  8 nov '20;25-39;1169;12,06
2020-11-02; 2 nov t/m  8 nov '20;40-49;1125;6,84
2020-11-02; 2 nov t/m  8 nov '20;50-59;1618;6,98
2020-11-02; 2 nov t/m  8 nov '20;60-69;1501;6,26
2020-11-02; 2 nov t/m  8 nov '20;70+;510;5,88
2020-11-02; 2 nov t/m  8 nov '20;Totaal;6175;7,87
2020-11-09; 9 nov t/m 15 nov '20;<=24;407;11,06
2020-11-09; 9 nov t/m 15 nov '20;25-39;1867;10,50
2020-11-09; 9 nov t/m 15 nov '20;40-49;1939;8,97
2020-11-09; 9 nov t/m 15 nov '20;50-59;2752;6,65
2020-11-09; 9 nov t/m 15 nov '20;60-69;2690;6,65
2020-11-09; 9 nov t/m 15 nov '20;70+;961;5,52
2020-11-09; 9 nov t/m 15 nov '20;Totaal;10616;7,82
2020-11-16;16 nov t/m 22 nov '20;<=24;491;13,03
2020-11-16;16 nov t/m 22 nov '20;25-39;2101;10,76
2020-11-16;16 nov t/m 22 nov '20;40-49;2215;8,62
2020-11-16;16 nov t/m 22 nov '20;50-59;3146;6,45
2020-11-16;16 nov t/m 22 nov '20;60-69;3135;6,12
2020-11-16;16 nov t/m 22 nov '20;70+;1103;4,17
2020-11-16;16 nov t/m 22 nov '20;Totaal;12191;7,56
2020-11-23;23 nov t/m 29 nov '20;<=24;462;13,42
2020-11-23;23 nov t/m 29 nov '20;25-39;2007;12,11
2020-11-23;23 nov t/m 29 nov '20;40-49;2194;9,16
2020-11-23;23 nov t/m 29 nov '20;50-59;3101;7,00
2020-11-23;23 nov t/m 29 nov '20;60-69;3103;6,06
2020-11-23;23 nov t/m 29 nov '20;70+;1125;5,69
2020-11-23;23 nov t/m 29 nov '20;Totaal;11992;8,13
2020-11-30;30 nov t/m  6 dec '20;<=24;430;12,09
2020-11-30;30 nov t/m  6 dec '20;25-39;2010;11,24
2020-11-30;30 nov t/m  6 dec '20;40-49;2179;9,73
2020-11-30;30 nov t/m  6 dec '20;50-59;3143;7,32
2020-11-30;30 nov t/m  6 dec '20;60-69;3230;6,90
2020-11-30;30 nov t/m  6 dec '20;70+;1169;5,05
2020-11-30;30 nov t/m  6 dec '20;Totaal;12161;8,24
2020-12-07; 7 dec t/m 13 dec '20;<=24;463;12,96
2020-12-07; 7 dec t/m 13 dec '20;25-39;2022;13,35
2020-12-07; 7 dec t/m 13 dec '20;40-49;2233;10,66
2020-12-07; 7 dec t/m 13 dec '20;50-59;3186;8,10
2020-12-07; 7 dec t/m 13 dec '20;60-69;3201;7,25
2020-12-07; 7 dec t/m 13 dec '20;70+;1174;6,47
2020-12-07; 7 dec t/m 13 dec '20;Totaal;12279;9,24
2020-12-14;14 dec t/m 20 dec '20;<=24;418;12,44
2020-12-14;14 dec t/m 20 dec '20;25-39;1920;12,19
2020-12-14;14 dec t/m 20 dec '20;40-49;2094;9,22
2020-12-14;14 dec t/m 20 dec '20;50-59;3064;7,31
2020-12-14;14 dec t/m 20 dec '20;60-69;3137;5,90
2020-12-14;14 dec t/m 20 dec '20;70+;1136;5,99
2020-12-14;14 dec t/m 20 dec '20;Totaal;11769;8,12
2020-12-21;21 dec t/m 27 dec '20;<=24;423;10,87
2020-12-21;21 dec t/m 27 dec '20;25-39;1906;11,59
2020-12-21;21 dec t/m 27 dec '20;40-49;2165;8,68
2020-12-21;21 dec t/m 27 dec '20;50-59;3120;7,50
2020-12-21;21 dec t/m 27 dec '20;60-69;3207;4,93
2020-12-21;21 dec t/m 27 dec '20;70+;1193;4,02
2020-12-21;21 dec t/m 27 dec '20;Totaal;12014;7,45
2020-12-28;28 dec t/m  3 jan '20;<=24;435;7,59
2020-12-28;28 dec t/m  3 jan '20;25-39;1930;11,04
2020-12-28;28 dec t/m  3 jan '20;40-49;2184;7,55
2020-12-28;28 dec t/m  3 jan '20;50-59;3162;6,55
2020-12-28;28 dec t/m  3 jan '20;60-69;3252;5,14
2020-12-28;28 dec t/m  3 jan '20;70+;1187;4,30
2020-12-28;28 dec t/m  3 jan '20;Totaal;12150;6,88
2021-01-04; 4 jan t/m 10 jan '21;<=24;442;8,82
2021-01-04; 4 jan t/m 10 jan '21;25-39;1960;8,98
2021-01-04; 4 jan t/m 10 jan '21;40-49;2229;6,28
2021-01-04; 4 jan t/m 10 jan '21;50-59;3259;5,46
2021-01-04; 4 jan t/m 10 jan '21;60-69;3347;5,14
2021-01-04; 4 jan t/m 10 jan '21;70+;1264;5,38
2021-01-04; 4 jan t/m 10 jan '21;Totaal;12501;6,18
2021-01-11;11 jan t/m 17 jan '21;<=24;458;7,64
2021-01-11;11 jan t/m 17 jan '21;25-39;2002;6,39
2021-01-11;11 jan t/m 17 jan '21;40-49;2300;6,22
2021-01-11;11 jan t/m 17 jan '21;50-59;3337;5,27
2021-01-11;11 jan t/m 17 jan '21;60-69;3396;4,21
2021-01-11;11 jan t/m 17 jan '21;70+;1299;3,54
2021-01-11;11 jan t/m 17 jan '21;Totaal;12792;5,25
2021-01-18;18 jan t/m 24 jan '21;<=24;460;5,87
2021-01-18;18 jan t/m 24 jan '21;25-39;1976;6,68
2021-01-18;18 jan t/m 24 jan '21;40-49;2278;4,74
2021-01-18;18 jan t/m 24 jan '21;50-59;3376;4,21
2021-01-18;18 jan t/m 24 jan '21;60-69;3500;3,66
2021-01-18;18 jan t/m 24 jan '21;70+;1363;2,42
2021-01-18;18 jan t/m 24 jan '21;Totaal;12953;4,40
2021-01-25;25 jan t/m 31 jan '21;<=24;464;4,31
2021-01-25;25 jan t/m 31 jan '21;25-39;1999;6,10
2021-01-25;25 jan t/m 31 jan '21;40-49;2260;3,81
2021-01-25;25 jan t/m 31 jan '21;50-59;3426;3,94
2021-01-25;25 jan t/m 31 jan '21;60-69;3555;3,04
2021-01-25;25 jan t/m 31 jan '21;70+;1380;1,81
2021-01-25;25 jan t/m 31 jan '21;Totaal;13084;3,79
2021-02-01; 1 feb t/m  7 feb '21;<=24;453;7,51
2021-02-01; 1 feb t/m  7 feb '21;25-39;1974;5,78
2021-02-01; 1 feb t/m  7 feb '21;40-49;2241;4,06
2021-02-01; 1 feb t/m  7 feb '21;50-59;3367;3,74
2021-02-01; 1 feb t/m  7 feb '21;60-69;3561;2,95
2021-02-01; 1 feb t/m  7 feb '21;70+;1416;3,81
2021-02-01; 1 feb t/m  7 feb '21;Totaal;13012;4,03
2021-02-08; 8 feb t/m 14 feb '21;<=24;451;5,99
2021-02-08; 8 feb t/m 14 feb '21;25-39;1914;6,48
2021-02-08; 8 feb t/m 14 feb '21;40-49;2196;4,74
2021-02-08; 8 feb t/m 14 feb '21;50-59;3318;3,80
2021-02-08; 8 feb t/m 14 feb '21;60-69;3533;2,94
2021-02-08; 8 feb t/m 14 feb '21;70+;1391;2,95
2021-02-08; 8 feb t/m 14 feb '21;Totaal;12803;4,11
2021-02-15;15 feb t/m 21 feb '21;<=24;437;8,24
2021-02-15;15 feb t/m 21 feb '21;25-39;1971;8,37
2021-02-15;15 feb t/m 21 feb '21;40-49;2186;5,67
2021-02-15;15 feb t/m 21 feb '21;50-59;3357;4,97
2021-02-15;15 feb t/m 21 feb '21;60-69;3551;3,89
2021-02-15;15 feb t/m 21 feb '21;70+;1419;2,54
2021-02-15;15 feb t/m 21 feb '21;Totaal;12921;5,15
2021-02-22;22 feb t/m 28 feb '21;<=24;436;10,55
2021-02-22;22 feb t/m 28 feb '21;25-39;1957;10,32
2021-02-22;22 feb t/m 28 feb '21;40-49;2215;7,31
2021-02-22;22 feb t/m 28 feb '21;50-59;3375;4,83
2021-02-22;22 feb t/m 28 feb '21;60-69;3600;4,47
2021-02-22;22 feb t/m 28 feb '21;70+;1433;3,35
2021-02-22;22 feb t/m 28 feb '21;Totaal;13016;6,01
2021-03-01; 1 mrt t/m  7 mrt '21;<=24;419;8,59
2021-03-01; 1 mrt t/m  7 mrt '21;25-39;1868;9,58
2021-03-01; 1 mrt t/m  7 mrt '21;40-49;2121;6,79
2021-03-01; 1 mrt t/m  7 mrt '21;50-59;3210;4,24
2021-03-01; 1 mrt t/m  7 mrt '21;60-69;3441;4,30
2021-03-01; 1 mrt t/m  7 mrt '21;70+;1395;3,87
2021-03-01; 1 mrt t/m  7 mrt '21;Totaal;12454;5,60
2021-03-08; 8 mrt t/m 14 mrt '21;<=24;427;8,67
2021-03-08; 8 mrt t/m 14 mrt '21;25-39;1912;10,25
2021-03-08; 8 mrt t/m 14 mrt '21;40-49;2196;7,88
2021-03-08; 8 mrt t/m 14 mrt '21;50-59;3279;4,51
2021-03-08; 8 mrt t/m 14 mrt '21;60-69;3544;4,54
2021-03-08; 8 mrt t/m 14 mrt '21;70+;1436;2,58
2021-03-08; 8 mrt t/m 14 mrt '21;Totaal;12794;5,88
2021-03-15;15 mrt t/m 21 mrt '21;<=24;408;10,54
2021-03-15;15 mrt t/m 21 mrt '21;25-39;1877;10,28
2021-03-15;15 mrt t/m 21 mrt '21;40-49;2148;7,64
2021-03-15;15 mrt t/m 21 mrt '21;50-59;3278;5,09
2021-03-15;15 mrt t/m 21 mrt '21;60-69;3509;4,36
2021-03-15;15 mrt t/m 21 mrt '21;70+;1431;2,80
2021-03-15;15 mrt t/m 21 mrt '21;Totaal;12651;6,01
2021-03-22;22 mrt t/m 28 mrt '21;<=24;408;7,60
2021-03-22;22 mrt t/m 28 mrt '21;25-39;1832;10,26
2021-03-22;22 mrt t/m 28 mrt '21;40-49;2093;7,12
2021-03-22;22 mrt t/m 28 mrt '21;50-59;3158;4,97
2021-03-22;22 mrt t/m 28 mrt '21;60-69;3474;4,23
2021-03-22;22 mrt t/m 28 mrt '21;70+;1396;3,22
2021-03-22;22 mrt t/m 28 mrt '21;Totaal;12361;5,80
2021-03-29;29 mrt t/m  4 apr '21;<=24;392;11,48
2021-03-29;29 mrt t/m  4 apr '21;25-39;1748;10,24
2021-03-29;29 mrt t/m  4 apr '21;40-49;2053;7,40
2021-03-29;29 mrt t/m  4 apr '21;50-59;3128;5,47
2021-03-29;29 mrt t/m  4 apr '21;60-69;3450;4,49
2021-03-29;29 mrt t/m  4 apr '21;70+;1414;2,90
2021-03-29;29 mrt t/m  4 apr '21;Totaal;12185;6,10
2021-04-05; 5 apr t/m 11 apr '21;<=24;414;9,66
2021-04-05; 5 apr t/m 11 apr '21;25-39;1774;9,13
2021-04-05; 5 apr t/m 11 apr '21;40-49;2091;7,22
2021-04-05; 5 apr t/m 11 apr '21;50-59;3187;4,52
2021-04-05; 5 apr t/m 11 apr '21;60-69;3519;4,18
2021-04-05; 5 apr t/m 11 apr '21;70+;1453;3,03
2021-04-05; 5 apr t/m 11 apr '21;Totaal;12438;5,53
2021-04-12;12 apr t/m 18 apr '21;<=24;372;8,87
2021-04-12;12 apr t/m 18 apr '21;25-39;1683;9,33
2021-04-12;12 apr t/m 18 apr '21;40-49;1993;6,87
2021-04-12;12 apr t/m 18 apr '21;50-59;3051;4,06
2021-04-12;12 apr t/m 18 apr '21;60-69;3396;4,06
2021-04-12;12 apr t/m 18 apr '21;70+;1392;2,30
2021-04-12;12 apr t/m 18 apr '21;Totaal;11887;5,22
2021-04-19;19 apr t/m 25 apr '21;<=24;374;9,36
2021-04-19;19 apr t/m 25 apr '21;25-39;1635;9,97
2021-04-19;19 apr t/m 25 apr '21;40-49;1967;6,05
2021-04-19;19 apr t/m 25 apr '21;50-59;3066;4,11
2021-04-19;19 apr t/m 25 apr '21;60-69;3417;4,36
2021-04-19;19 apr t/m 25 apr '21;70+;1398;2,07
2021-04-19;19 apr t/m 25 apr '21;Totaal;11857;5,24
2021-04-26;26 apr t/m  2 mei '21;<=24;357;7,84
2021-04-26;26 apr t/m  2 mei '21;25-39;1613;9,42
2021-04-26;26 apr t/m  2 mei '21;40-49;1888;6,09
2021-04-26;26 apr t/m  2 mei '21;50-59;3060;4,41
2021-04-26;26 apr t/m  2 mei '21;60-69;3412;3,11
2021-04-26;26 apr t/m  2 mei '21;70+;1400;4,07
2021-04-26;26 apr t/m  2 mei '21;Totaal;11730;5,06
2021-05-03; 3 mei t/m  9 mei '21;<=24;351;9,40
2021-05-03; 3 mei t/m  9 mei '21;25-39;1624;7,88
2021-05-03; 3 mei t/m  9 mei '21;40-49;1942;6,13
2021-05-03; 3 mei t/m  9 mei '21;50-59;3051;4,46
2021-05-03; 3 mei t/m  9 mei '21;60-69;3397;3,62
2021-05-03; 3 mei t/m  9 mei '21;70+;1414;2,62
2021-05-03; 3 mei t/m  9 mei '21;Totaal;11779;4,89
2021-05-10;10 mei t/m 16 mei '21;<=24;369;8,13
2021-05-10;10 mei t/m 16 mei '21;25-39;1595;6,46
2021-05-10;10 mei t/m 16 mei '21;40-49;1935;4,34
2021-05-10;10 mei t/m 16 mei '21;50-59;3130;3,32
2021-05-10;10 mei t/m 16 mei '21;60-69;3408;3,11
2021-05-10;10 mei t/m 16 mei '21;70+;1427;1,33
2021-05-10;10 mei t/m 16 mei '21;Totaal;11864;3,76
2021-05-17;17 mei t/m 23 mei '21;<=24;354;6,78
2021-05-17;17 mei t/m 23 mei '21;25-39;1578;6,34
2021-05-17;17 mei t/m 23 mei '21;40-49;1935;4,29
2021-05-17;17 mei t/m 23 mei '21;50-59;3073;2,73
2021-05-17;17 mei t/m 23 mei '21;60-69;3343;2,27
2021-05-17;17 mei t/m 23 mei '21;70+;1409;1,49
2021-05-17;17 mei t/m 23 mei '21;Totaal;11692;3,32
2021-05-24;24 mei t/m 30 mei '21;<=24;351;8,83
2021-05-24;24 mei t/m 30 mei '21;25-39;1583;6,13
2021-05-24;24 mei t/m 30 mei '21;40-49;1971;5,28
2021-05-24;24 mei t/m 30 mei '21;50-59;3088;2,56
2021-05-24;24 mei t/m 30 mei '21;60-69;3338;1,80
2021-05-24;24 mei t/m 30 mei '21;70+;1394;1,29
2021-05-24;24 mei t/m 30 mei '21;Totaal;11725;3,32
2021-05-31;31 mei t/m  6 jun '21;<=24;343;6,12
2021-05-31;31 mei t/m  6 jun '21;25-39;1539;6,63
2021-05-31;31 mei t/m  6 jun '21;40-49;1936;4,91
2021-05-31;31 mei t/m  6 jun '21;50-59;3066;2,61
2021-05-31;31 mei t/m  6 jun '21;60-69;3328;2,52
2021-05-31;31 mei t/m  6 jun '21;70+;1385;1,44
2021-05-31;31 mei t/m  6 jun '21;Totaal;11597;3,47
2021-06-07; 7 jun t/m 13 jun '21;<=24;325;9,23
2021-06-07; 7 jun t/m 13 jun '21;25-39;1509;7,69
2021-06-07; 7 jun t/m 13 jun '21;40-49;1943;3,86
2021-06-07; 7 jun t/m 13 jun '21;50-59;3032;2,54
2021-06-07; 7 jun t/m 13 jun '21;60-69;3284;2,41
2021-06-07; 7 jun t/m 13 jun '21;70+;1372;1,60
2021-06-07; 7 jun t/m 13 jun '21;Totaal;11465;3,48
2021-06-14;14 jun t/m 20 jun '21;<=24;318;4,40
2021-06-14;14 jun t/m 20 jun '21;25-39;1489;6,18
2021-06-14;14 jun t/m 20 jun '21;40-49;1913;4,29
2021-06-14;14 jun t/m 20 jun '21;50-59;2949;2,14
